individualstestedperconfirmedcase,positivecasesfromsamplesreported,samplereportedtoday,source,source1,testedasof,testpositivityrate,testsconductedbyprivatelabs,testsperconfirmedcase,testspermillion,totalindividualstested,totalpositivecases,totalsamplestested,updatetimestamp
75.64,,,Press_Release_ICMR_13March2020.pdf,,13/03/2020,1.20%,,83.33,5,5900,78,6500,13/03/2020 00:00:00
81.57,,,ICMR_website_update_18March_6PM_IST.pdf,,18/03/2020,1.14%,,87.50,10,12235,150,13125,18/03/2020 18:00:00
73.96,,,ICMR_website_update_19March_10AM_IST_V2.pdf,,19/03/2020,1.26%,,79.26,10,12426,168,13316,19/03/2020 10:00:00
72.99,,,ICMR_website_update_19March_6PM_IST.pdf,,19/03/2020,1.28%,,77.88,11,13285,182,14175,19/03/2020 18:00:00
65.47,,,ICMR_website_update_20March_10AM_IST.pdf,,20/03/2020,1.43%,,69.79,11,13486,206,14376,20/03/2020 10:00:00
61.50,,,ICMR_website_update_20March_6PM_IST.pdf,,20/03/2020,1.53%,,65.27,12,14514,236,15404,20/03/2020 18:00:00
54.65,,,ICMR_website_update_21March_10AM_IST.pdf,,21/03/2020,1.73%,,57.94,12,14811,271,15701,21/03/2020 10:00:00
50.86,,,ICMR_website_update_21March_6PM_IST.pdf,,21/03/2020,1.86%,,53.69,13,16021,315,16911,21/03/2020 18:00:00
47.24,,,ICMR_website_update_22March_10AM_IST.pdf,,22/03/2020,2.01%,,49.85,13,16109,341,16999,22/03/2020 10:00:00
43.53,,,ICMR_website_update_22March_6PM_IST.pdf,,22/03/2020,2.18%,,45.78,14,17237,396,18127,22/03/2020 18:00:00
42.15,,,ICMR_website_update_23March_10AM_IST.pdf,,23/03/2020,2.26%,,44.30,14,17493,415,18383,23/03/2020 10:00:00
42.07,,,ICMR_website_update_23March_8PM_IST.pdf,,23/03/2020,2.27%,,43.96,16,19817,471,20707,23/03/2020 20:00:00
41.44,,,ICMR_website_update_24March_10AM_IST.pdf,,24/03/2020,2.31%,,43.29,16,19974,482,20864,24/03/2020 10:00:00
40.68,,,ICMR_website_update_24March_8PM_IST.pdf,,24/03/2020,2.36%,,42.34,17,21804,536,22694,24/03/2020 20:00:00
40.89,,,ICMR_website_update_25March_10AM_IST.pdf,,25/03/2020,2.35%,,42.54,17,22038,539,22928,25/03/2020 10:00:00
41.75,,,ICMR_website_update_25March_8PM_IST.pdf,,25/03/2020,2.31%,,43.28,19,24254,581,25144,25/03/2020 20:00:00
,,,,,26/03/2020,,,,,,,,26/03/2020 10:00:00
38.78,,,ICMR_website_update_27March_9AM_IST.pdf,,26/03/2020,2.50%,,40.07,21,26798,691,27688,27/03/2020 09:00:00
,,,MoH Press conference with Dr. Raman G,,30/03/2020,0.00%,1334,,29,,,38442,30/03/2020 00:00:00
,,,MoH Press conference with Dr. Raman G,,31/03/2020,0.00%,1733,,32,,,42788,31/03/2020 00:00:00
0.00,,,https://twitter.com/PTI_News/status/1245308976440340482,,01/04/2020,3.41%,4562,29.29,36,,1637,47951,01/04/2020 00:00:00
0.00,,,ICMR_testing_update_02April_9PM_IST.pdf,,02/04/2020,3.68%,,27.16,42,,2056,55851,02/04/2020 21:00:00
0.00,,,ICMR_testing_update_03April_9AM_IST.pdf,,03/04/2020,3.85%,,25.96,43,,2183,56680,03/04/2020 09:00:00
0.00,575,10034,ICMR_testing_update_03April_9PM_IST.pdf,,03/04/2020,3.83%,,26.10,52,,2653,69245,03/04/2020 21:00:00
0.00,,,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_04April_9PM_IST.pdf,,04/04/2020,3.89%,,25.68,60,,3113,79950,04/04/2020 21:00:00
0.00,295,9369,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_05April_9PM_IST.pdf,,05/04/2020,3.97%,,25.19,67,,3554,89534,05/04/2020 21:00:00
0.00,311,11432,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_06April_9PM_IST.pdf,,06/04/2020,4.09%,,24.44,76,,4135,101068,06/04/2020 21:00:00
0.00,285,12584,ICMR_testing_update_07April_9PM_IST.pdf,,07/04/2020,4.05%,,24.70,86,,4616,114015,07/04/2020 21:00:00
0.00,320,13143,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_08April_9PM_IST.pdf,,08/04/2020,4.00%,,25.01,96,,5114,127919,08/04/2020 21:00:00
22.93,320,16002,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_09April_9PM_IST.pdf,,09/04/2020,3.94%,,25.40,109,130792,5705,144910,09/04/2020 21:00:00
21.40,433,15663,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_10April_9PM_IST.pdf,,10/04/2020,4.26%,,23.48,121,147034,6872,161330,10/04/2020 21:00:00
21.39,600,17143,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_11April_9PM_IST.pdf,,11/04/2020,4.29%,,23.29,135,164773,7703,179374,11/04/2020 21:00:00
21.78,544,"15,583",https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_12April_9PM_IST.pdf,,12/04/2020,4.25%,,23.55,147,181028,8312,195748,12/04/2020 21:00:00
21.68,,,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_13April_9PM_IST_0.pdf,,13/04/2020,4.29%,,23.29,163,202551,9341,217554,13/04/2020 21:00:00
22.26,853,26351,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_14April_9PM_IST.pdf,,14/04/2020,4.21%,,23.76,184,229426,10307,244893,14/04/2020 21:00:00
22.90,953,28941,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_15April_9PM_IST.pdf,,15/04/2020,4.11%,,24.31,206,258730,11297,274599,15/04/2020 21:00:00
22.79,1206,27256,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_16April_9PM_IST.pdf,,16/04/2020,4.15%,,24.08,227,286714,"12,581",302956,16/04/2020 21:00:00
22.59,1443,31083,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_17April_9PM_IST.pdf,,17/04/2020,4.21%,,23.77,251,318449,14098,335123,17/04/2020 21:00:00
21.69,2154,35494,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_18April_9PM_IST.pdf,,18/04/2020,4.40%,,22.74,279,354969,16365,372123,18/04/2020 21:00:00
21.80,1135,27824,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_19April_9PM_IST.pdf,,19/04/2020,4.39%,,22.80,301,383985,17615,401586,19/04/2020 21:00:00
,,,,,20/04/2020,,,,,,,,20/04/2020 21:00:00
,,26943,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_21April_9PM_IST.pdf,,21/04/2020,0.00%,,,347,447812,,462621,21/04/2020 21:00:00
,,,,,,,,,,,,,22/04/2020 21:00:00
22.26,,,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_23Apr2020_9AM_IST.pdf,,22/04/2020,4.35%,,22.96,376,485172,21797,500542,23/04/2020 09:00:00
22.37,,,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_24Apr2020_9AM_IST.pdf,,23/04/2020,4.34%,,23.05,406,525667,23502,541789,24/04/2020 09:00:00
,,,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_25Apr2020_9AM_IST.pdf,,24/04/2020,0.00%,,,435,,,579957,25/04/2020 09:00:00
,,,https://icmr.nic.in/sites/default/files/whats_new/ICMR_testing_update_26Apr2020_9AM_IST.pdf,,25/04/2020,,,,469,,,625309,26/04/2020 09:00:00
